player,bucket,attempts,made,expected_made,kick_plus
Matt Ammendola,40-49,8,3,6.3,47.8
Matt Ammendola,50-59,5,0,3.4,0.0
Riley Patterson,20-29,19,18,18.6,96.6
Riley Patterson,30-39,40,38,37.3,101.9
Riley Patterson,40-49,31,27,25.2,107.1
Riley Patterson,50-59,13,7,9.1,76.5
Brian Johnson,20-29,5,5,5.0,100.8
Brian Johnson,30-39,3,3,2.8,107.5
Brian Johnson,40-49,1,1,0.8,128.8
Brian Johnson,50-59,1,1,0.7,149.1
Tristan Vizcaino,20-29,3,3,3.0,100.8
Elliott Fry,30-39,4,3,3.7,80.6
Elliott Fry,40-49,1,1,0.8,128.8
Lirim Hajrullahu,20-29,2,2,2.0,100.8
Lirim Hajrullahu,30-39,2,2,1.9,107.5
Lirim Hajrullahu,40-49,1,0,0.8,0.0
Ryan Santoso,20-29,3,3,3.0,100.8
Ryan Santoso,30-39,1,1,0.9,107.5
Ryan Santoso,40-49,1,0,0.8,0.0
Chris Blewitt,40-49,4,1,3.1,32.2
Chris Blewitt,50-59,1,1,0.7,149.1
Dominik Eberle,20-29,1,1,1.0,100.8
Dominik Eberle,50-59,2,1,1.3,74.6
Bradley Pinion,60+,1,0,0.4,0.0
Chris Naggar,30-39,1,1,0.9,107.5
Mitch Wishnowsky,40-49,1,0,0.8,0.0
Younghoe Koo,60+,1,0,0.4,0.0
Greg Joseph,60+,1,1,0.4,260.0
Cade York,20-29,10,10,9.7,102.8
Cade York,30-39,15,11,13.9,79.3
Cade York,40-49,11,7,8.7,80.1
Cade York,50-59,8,5,5.7,88.0
Cade York,60+,1,0,0.4,0.0
Matt Gay,60+,2,0,0.9,0.0
Joey Slye,<20,1,1,1.0,100.0
Evan McPherson,<20,1,1,1.0,100.0
Harrison Butker,60+,3,2,1.2,165.7
Cameron Dicker,20-29,30,30,29.3,102.4
Cameron Dicker,30-39,39,38,36.4,104.3
Cameron Dicker,40-49,41,39,33.0,118.3
Cameron Dicker,50-59,27,21,19.1,109.9
Matt Ammendola,<20,1,1,1.0,100.0
Caleb Shudak,20-29,1,1,1.0,102.6
Caleb Shudak,30-39,3,2,2.8,72.5
Taylor Bertolet,20-29,3,3,2.9,102.6
Nick Sciba,20-29,1,1,1.0,102.6
Nick Sciba,30-39,1,1,0.9,108.7
